artist,facebook,twitter,website,genre,mtv
 Raw Blue ,,http://twitter.com/RawwBlue,http://www.rawblue.tumblr.com,Hip-Hop,http://www.mtv.com/artists/raw-blue/biography
 Spaz SsG ,,http://www.twitter.com/http://www.soundzsogood.com,http://www.soundzsogood.com,Hip-Hop,http://www.mtv.com/artists/spaz-ssg/biography
 Lex Topdollar ,,,,,http://www.mtv.com/artists/lex-topdollar/biography
 TAPE THE RADIO ,http://www.facebook.com/tapetheradio,http://www.twitter.com/http://www.tapetheradio.com,,Alternative,http://www.mtv.com/artists/tape-the-radio/biography
 Sarah De Bono ,,,,,http://www.mtv.com/artists/sarah-de-bono/biography
 Buty ,,,,,http://www.mtv.com/artists/buty-1/biography
 Hemlok ,http://www.facebook.com/214060939304,http://www.twitter.com/http://www.hemlok.com,http://www.hemlok.com,Alternative,http://www.mtv.com/artists/hemlok/biography
 Todd Norian ,,,,,http://www.mtv.com/artists/todd-norian/biography
 S.T.I.G So Throwed In-The Game ,http://www.facebook.com/297253370344214,,http://www.reverbnation.com/stigsothrowedinthegame?profile_view_source=header_icon_nav,Rap,http://www.mtv.com/artists/stig-so-throwed-in-the-game/biography
 Tim Hatten ,http://www.facebook.com/142280245792412,http://www.twitter.com/https://www.youtube.com/timhatten,,Singer/Songwriter,http://www.mtv.com/artists/tim-hatten/biography
 Dear Pricey ,,http://www.twitter.com/http://www.YouTube.com/DearPricey,http://www.DearPricey.com,Rap,http://www.mtv.com/artists/dear-pricey/biography
 Don Bell ,,,,,http://www.mtv.com/artists/don-bell/biography
 pdp ,http://www.facebook.com/djpdp.bass,http://www.twitter.com/http://soundcloud.com/pat-dipaola,http://soundcloud.com/pat-dipaola,Electronic,http://www.mtv.com/artists/pdp/biography
 Mega Mann ,,,,,http://www.mtv.com/artists/mega-mann/biography
 Paul Couture ,,,,,http://www.mtv.com/artists/paul-couture/biography
 Real Rimes ,http://www.facebook.com/realrimes,http://www.twitter.com/http://m.youtube.com/#/prince8619?uid=95xRlDSA9RtzPC3FQBt2SA&desktop_uri=%2Fprince8619,,Hip-Hop/Rap,http://www.mtv.com/artists/real-rimes/biography
 Raby ,,,http://www.rabymusic.com,Pop,http://www.mtv.com/artists/raby/biography
 Efya ,,,,,http://www.mtv.com/artists/efya/biography
 Dj Rich Arzadon ,,,,,http://www.mtv.com/artists/dj-rich-arzadon/biography
 Billy Droze ,,,,,http://www.cmt.com/artists/billy-droze/biography
 Dillon Emmons ,http://www.facebook.com/526946230660804,http://www.twitter.com/youngwildandd,,Pop/Rock,http://www.mtv.com/artists/dillon-emmons/biography
 R̩gis Danese ,,,,Latin,http://www.mtv.com/artists/rgis-danese/biography
 Steez76D ,http://www.facebook.com/269199793181150,http://www.twitter.com/https://www.facebook.com/Steez76D,,Underground Rap,http://www.mtv.com/artists/steez76d/biography
 Stavros Siolas ,,,,,http://www.mtv.com/artists/stavros-siolas-1/biography
 Ob$cene ,,,,,http://www.mtv.com/artists/obcene/biography
 Taps ,,http://twitter.com/tapsempire,,Singer/Songwriter,http://www.mtv.com/artists/taps/biography
 Borrowed Blue  ,http://www.facebook.com/663445064,http://www.twitter.com/http://www.borrowedbluemusic.com,http://www.borrowedbluemusic.com,Contemporary Country,http://www.cmt.com/artists/borrowed-blue/biography
 Official 3AM Music ,http://www.facebook.com/472928506106843,http://twitter.com/official3AM,,Alternative Rap,http://www.mtv.com/artists/official-3am-music/biography
 Jay IDK ,,http://www.twitter.com/http://www.youtube.com/user/GhettoUniverse,https://www.youtube.com/user/GhettoUniverse?feature=mhee,Hip-Hop/Rap,http://www.mtv.com/artists/jay-idk/biography
 Larry Carroll ,,,,,http://www.mtv.com/artists/larry-carroll/biography
 Shirota Yu ,,,,,http://www.mtv.com/artists/shirota-yu/biography
 R3nz ,http://www.facebook.com/110728358966646,http://www.twitter.com/http://www.mtv.com/artists/r3nz,,Hip-Hop/Rap,http://www.mtv.com/artists/r3nz/biography
 WHY-IT ,http://www.facebook.com/261740327296457,http://twitter.com/ITSWHYIT,https://soundcloud.com/itswhyit,Rap,http://www.mtv.com/artists/why-it/biography
 PANA! ,http://www.twitter.com/http://www.facebook.com/panamusik,http://www.twitter.com/http://www.facebook.com/panamusik,http://www.panamusik.com,,http://www.mtv.com/artists/pana-1/biography
 Rainy Day Women ,,,,,http://www.mtv.com/artists/rainy-day-women/biography
 Elizabeth Lyons ,http://www.facebook.com/157286664295470,http://twitter.com/eLyonsMusic,http://www.elizabethlyonsmusic.com,Country,http://www.cmt.com/artists/elizabeth-lyons/biography
